Scheduled Date,Scheduled open rec hrs as of 2023-10-22_14:25:35
"Monday, 10/16",6:30am-2:30pm 
"Tuesday, 10/17",6:30am-6:30pm 
"Wednesday, 10/18",6:30am-2:30pm 
"Thursday, 10/19",6:30am-2:30pm 
"Friday, 10/20",6:30am-2:30pm 
"Saturday, 10/21",8:30am-10:30pm 
"Sunday, 10/22",8:30am-10:30am 
"Monday, 10/23",6:30am-2:30pm 
"Tuesday, 10/24",6:30am-2:30pm 
"Wednesday, 10/25",6:30am-2:30pm 
"Thursday, 10/26",6:30am-2:30pm 
"Friday, 10/27",6:30am-2:30pm 
"Saturday, 10/28",8:30am-10:30pm 
"Sunday, 10/29",8:30am-10:30am 
"Monday, 10/30",6:30am-2:30pm 
